rooms,area,living_area,kitchen_area,floor,total_floors,price_usd,price_per_m2,house_type,ceiling_height,condition,parking,furniture,district,latitude,longitude,null_counts,has_window_grills,security_high,bathroom_count,bathroom_type,balcony_type,wooden_floor,floor_relative,living_ratio,kitchen_ratio,building_age,building_stage
2,52.78,37.63172365499425,9.77,-1.0,-1.0,58949,1116,monolithic,2.65,unknown,private_parking,unknown,Nura,51.104471404018,71.357934035308,9,0,0,1,unknown,unknown,0,1.0,0.7129921116899253,0.18510799545282303,0,1
4,112.0,79.85511650927162,12.0,9.0,9.0,208288,1859,brick,3.0,unknown,no_parking,unknown,Almaty,51.143179929788,71.456093985873,4,0,1,2,multiple,loggia,0,1.0,0.7129921116899253,0.10714285714285714,4,0
1,31.0,22.10275546238768,6.332947891127019,8.0,12.0,40085,1293,brick,2.7,new,private_parking,unknown,Almaty,51.114054982988,71.511796450941,6,0,0,1,unknown,loggia,0,0.6666666666666666,0.7129921116899252,0.2042886416492587,2,0
3,112.0,79.85511650927162,22.880327864716975,-1.0,-1.0,231868,2070,monolithic,3.0,unknown,private_parking,fully_furnished,Nura,51.133656711975,71.39893127291,6,0,1,2,multiple,loggia,0,1.0,0.7129921116899253,0.2042886416492587,2,0
1,40.0,28.519684467597006,10.0,9.0,9.0,39299,982,brick,2.7,unknown,no_parking,unknown,Saryshyk,51.119292,71.519129,9,0,0,1,unknown,unknown,0,1.0,0.7129921116899252,0.25,7,0
2,54.4,38.78677087593193,11.113302105719672,12.0,16.0,64647,1188,monolithic,2.7,unknown,private_parking,unknown,Yesil,51.06859129051,71.418095973178,8,0,0,1,unknown,unknown,0,0.75,0.7129921116899252,0.2042886416492587,1,0
1,39.1,27.877991567076073,7.987685888486015,1.0,12.0,45194,1155,brick,2.7,new,no_parking,unknown,Saryarka,51.173383,71.354746,9,0,0,1,unknown,unknown,0,0.08333333333333333,0.7129921116899252,0.2042886416492587,4,0
3,85.0,60.60432949364364,25.0,1.0,10.0,100214,1178,brick,3.0,unknown,private_parking,unknown,unknown,51.100209236141,71.434401317166,7,0,0,1,unknown,multiple,0,0.1,0.7129921116899252,0.29411764705882354,4,0
3,110.0,78.42913228589177,22.471750581418455,8.0,10.0,135583,1232,brick,3.0,unknown,private_parking,unknown,Yesil,51.098058309585,71.43416082537,5,0,0,2,multiple,multiple,0,0.8,0.7129921116899252,0.20428864164925867,4,0
1,29.0,20.67677123900783,5.924370607828502,3.0,3.0,27509,948,other,2.7,good,no_parking,fully_furnished,Nura,51.122401,71.263675,7,0,0,1,unknown,unknown,0,1.0,0.7129921116899252,0.2042886416492587,4,0
2,41.1,29.303975790455926,8.396263171784533,12.0,13.0,80367,1955,brick,3.0,new,private_parking,unknown,Yesil,51.103597631337,71.441835970503,7,0,0,1,unknown,unknown,0,0.9230769230769231,0.7129921116899252,0.2042886416492587,1,0
1,29.3,20.89066887251481,5.9856572003232795,-1.0,-1.0,37334,1274,unknown,2.7,new,public_parking,fully_furnished,unknown,51.145433,71.465392,7,0,0,1,combined,unknown,0,1.0,0.7129921116899252,0.2042886416492587,6,0
1,37.0,26.380708132527232,10.0,3.0,12.0,40283,1088,brick,3.0,unknown,no_parking,unknown,Saryshyk,51.107785,71.512257,6,0,0,1,combined,loggia,0,0.25,0.7129921116899252,0.2702702702702703,4,0
3,94.0,67.02125849885296,18.0,8.0,12.0,130671,1390,brick,3.0,new,no_parking,fully_furnished,Saryshyk,51.114107,71.491038,4,1,1,2,multiple,unknown,0,0.6666666666666666,0.712992111689925,0.19148936170212766,2,0
3,76.3,54.40129812194129,5.6,9.0,22.0,77616,1017,monolithic,3.0,good,private_parking,unknown,Almaty,51.131934872181,71.460224761309,6,0,0,1,unknown,unknown,0,0.4090909090909091,0.7129921116899252,0.07339449541284404,9,0
1,44.0,31.37165291435671,8.988700232567382,11.0,12.0,54037,1228,brick,3.0,unknown,private_parking,unknown,Nura,51.100422279172,71.382220421086,8,0,0,1,unknown,unknown,0,0.9166666666666666,0.7129921116899252,0.20428864164925867,0,1
2,62.7,44.70460540295831,12.80889783140852,4.0,6.0,45194,720,brick,2.8,rough,no_parking,unknown,Yesil,51.049922238728,71.435744762421,5,0,0,1,combined,multiple,0,0.6666666666666666,0.7129921116899252,0.2042886416492587,2,0
3,79.0,56.326376823504084,16.13880269029144,7.0,21.0,75651,957,monolithic,2.8,unknown,private_parking,unknown,Almaty,51.112364268758,71.536746025085,8,0,0,1,unknown,unknown,0,0.3333333333333333,0.7129921116899252,0.20428864164925872,6,0
3,105.0,74.86417172744214,21.450307373172162,6.0,17.0,190603,1815,monolithic,3.0,unknown,private_parking,unknown,Yesil,51.104566046182,71.399554480031,8,0,0,2,unknown,unknown,0,0.35294117647058826,0.7129921116899252,0.2042886416492587,2,0
3,44.0,31.37165291435671,8.988700232567382,6.0,9.0,64647,1469,monolithic,2.7,new,private_parking,unfurnished,Nura,51.115024969179,71.39182948766,3,0,0,1,combined,loggia,0,0.6666666666666666,0.7129921116899252,0.20428864164925867,1,0
2,67.8,48.340865172576926,10.6,2.0,12.0,76634,1130,brick,3.0,unknown,private_parking,unknown,Nura,51.101139264513,71.382877876182,5,0,1,1,unknown,loggia,0,0.16666666666666666,0.7129921116899252,0.15634218289085547,0,1
